word,meaning
หนู,"{'คำนาม': ['ชื่อสัตว์เลี้ยงลูกด้วยน้ำนมหลายสกุลในวงศ์  ขนาดเล็ก มีฟันแทะ อยู่ทั่วไปตามบ้านเรือนและในถิ่นธรรมชาติ มีหลายชนิด เช่น หนูพุกใหญ่ () หนูท้องขาว () บางชนิดเป็นพาหะนำโรค'], 'คำสรรพนาม': ['เป็นคำสำหรับเรียกเด็กว่า หนูนั่น หนูนี่ มีความหมายไปในทางเอ็นดู, เป็นสรรพนามบุรุษที่ 1 หรือ 2'], 'คำคุณศัพท์': ['เล็ก (ใช้เฉพาะพรรณไม้บางอย่างที่มีพันธุ์เล็กหรือของบางอย่างชนิดเล็ก)']}"
คอมพิวเตอร์,{'คำนาม': ['เครื่องอิเล็กทรอนิกส์แบบอัตโนมัติ ทำหน้าที่เสมือนสมองกล ใช้สำหรับแก้ปัญหาต่าง ๆ ทั้งที่ง่ายและซับซ้อน โดยวิธีทางคณิตศาสตร์']}
คำ,"{'คำนาม': ['เสียงพูด', 'เสียงพูดหรือลายลักษณ์อักษรที่เขียนหรือพิมพ์ขึ้นเพื่อแสดงความคิด โดยปกติถือว่าเป็นหน่วยที่เล็กที่สุดซึ่งมีความหมายในตัว', 'ใช้ประกอบหน้าคำอื่นมีความหมายเช่นนั้น', 'ทองคำ'], 'คำลักษณนาม': ['ลักษณนามของเสียงพูด', 'บอกจำพวกของเคี้ยวของกิน', 'เรียก 2 วรรคของคำกลอนว่า คำหนึ่ง'], 'คำกริยา': ['กัด, ขบ']}"
ลิ้น,"{'คำนาม': ['อวัยวะที่อยู่ในปาก มีหน้าที่ (1) กลั้วอาหารให้เข้ากันแล้วส่งลงในลำคอ (2) ช่วยในการออกเสียง (3) ให้รู้รส, ลิ้นสัตว์บางจำพวกเช่นจำพวกที่มีขน ใช้ลิ้นเลียขนเลียแผลเพื่อทำความสะอาดได้', 'ส่วนของสิ่งต่าง ๆ มักมีรูปแบน ยาวหรือกลม ที่อยู่ภายใน ก็มี ที่อยู่ภายนอก ก็มี ที่เป็นชั้นอยู่ภายในยกถอดออกได้ ก็มี', 'อุปกรณ์สำหรับปิดเปิดให้สิ่งใดสิ่งหนึ่ง เช่นอากาศ น้ำ เป็นต้น หยุดการเคลื่อนที่ผ่าน หรือเคลื่อนที่ผ่านไปได้', 'การพูด, ถ้อยคำ', 'อุปกรณ์ชนิดหนึ่งในเครื่องยนต์ชนิดเผาไหม้ภายใน ทำหน้าที่เป็นวาล์วปิดเปิดเป็นจังหวะ ชุดหนึ่งเรียกว่า ลิ้นไอดี สำหรับให้อากาศหรืออากาศผสมน้ำมันเชื้อเพลิงเข้าสู่ห้องเผาไหม้ อีกชุดหนึ่งเรียกว่า ลิ้นไอเสีย สำหรับให้แก๊สต่าง ๆ ที่เกิดจากการเผาไหม้ออกจากห้องเผาไหม้ไปสู่ท่อไอเสีย, วาล์ว ก็เรียก']}"
โทรทัศน์,"{'คำนาม': ['กระบวนการถ่ายทอดเสียงและภาพได้พร้อมกันจากที่หนึ่งไปยังอีกที่หนึ่ง โดยวิธีเปลี่ยนคลื่นเสียงและภาพให้เป็นคลื่นแม่เหล็กไฟฟ้าออกสู่อากาศ, เรียกเครื่องที่มีหน้าที่ดังกล่าวว่า เครื่องส่งโทรทัศน์ และเรียกเครื่องที่มีหน้าที่เปลี่ยนคลื่นแม่เหล็กไฟฟ้าที่ได้รับจากเครื่องส่งโทรทัศน์ให้กลับเป็นคลื่นเสียงและภาพตามเดิมว่า เครื่องรับโทรทัศน์']}"
รั้ว,"{'คำนาม': ['เครื่องล้อมกันเป็นเขตของบ้านเป็นต้น มักทำด้วยเรียวไผ่ ต้นไม้ขนาดเล็กหรือสังกะสี', 'โดยปริยายเรียกทหารซึ่งทำหน้าที่เป็นกำลังป้องกันชาติว่า รั้วของชาติ']}"
จมูก,{'คำนาม': ['อวัยวะบนหน้า มีลักษณะยื่นออกมาอยู่บริเวณเหนือปาก และรูสองรู ใช้สำหรับดมกลิ่น และเป็นทางเดินลมหายใจ']}
สมองกล,{'คำนาม': ['คอมพิวเตอร์ (ใช้ในบางบริบท)']}
ฤดู,"{'คำนาม': ['ส่วนของปีซึ่งแบ่งโดยถือเอาภูมิอากาศเป็นหลัก มักแบ่งออกเป็น 3 ช่วง คือ ฤดูฝน ฤดูหนาว และฤดูร้อน หรือเป็น 4 ช่วง คือ ฤดูใบไม้ผลิ ฤดูร้อน ฤดูใบไม้ร่วง และฤดูหนาว ที่แบ่งเป็น 2 ช่วง คือ ฤดูแล้งกับฤดูฝน ก็มี', 'เวลาที่กำหนดสำหรับงานต่าง ๆ เช่น ฤดูเก็บเกี่ยว ฤดูทอดกฐิน ฤดูถือบวช เวลาที่เหมาะ เช่น ฤดูสัตว์ผสมพันธุ์', 'คราว, สมัย']}"
คริสต์ธรรม,"{'คำนาม': ['ไบเบิล', 'ฟินแลนด์: raamattu (ฟินแลนด์)', 'อังกฤษ: bible (อังกฤษ)']}"
ไบเบิล,{'คำวิสามานยนาม': ['ชื่อคัมภีร์ที่สำคัญของศาสนาคริสต์']}
ศีรษะ,{'คำนาม': ['หัว (เป็นคำสุภาพที่ใช้แก่คน)']}
หัว,"{'คำนาม': ['ส่วนบนสุดของร่างกายของคนหรือสัตว์', 'ผม (ในบางบริบท)', 'ส่วนของพืชพันธุ์บางอย่างตอนที่อยู่ใต้ดิน', 'ส่วนที่อยู่ใต้ดินของพืชบางชนิด เป็นที่เกิดต้นอ่อน', 'ส่วนเริ่มต้นที่เป็นวงของตัวหนังสือ', 'ส่วนแห่งสิ่งของบางอย่างที่อยู่ข้างหน้า หรือข้างต้น หรือแรกเริ่ม เรียกว่า หัวของสิ่งนั้น ๆ', 'ช่วงแรกเริ่มของเวลา', 'ส่วนแห่งสิ่งของที่เป็นยอด', 'ส่วนแห่งสิ่งของที่ยื่นเด่นออกไป', 'ในการเล่นปั่นแปะหรือโยนหัวโยนก้อย เรียกสมมุติด้านหนึ่งของเงินปลีกว่า ด้านหัว คู่กับ ด้านก้อย', 'ส่วนที่ตรงข้ามกับหางหรือท้าย', 'ส่วนที่ตรงข้ามกับ ก้น ในความว่า หัวหวานก้นเปรี้ยว', 'ส่วนที่เป็นแก่นสาร', 'สติปัญญา, ความสามารถพิเศษ, ความคิดริเริ่ม', 'ผู้ที่มีความคิดหนักไปทางใดทางหนึ่ง', 'ปัญญา, ความคิด'], 'คำกริยา': ['หัวเราะ', 'หัวเราะ']}"
ปาก,"{'คำนาม': ['อวัยวะส่วนหนึ่งของร่างกายคนและสัตว์ อยู่ที่บริเวณใบหน้า ใช้สำหรับกินอาหาร และออกเสียง', 'โดยปริยายหมายถึงส่วนต่าง ๆ ที่อยู่ในบริเวณปาก เช่น ปากเปื่อย', 'ขอบช่องแห่งสิ่งต่าง ๆ เช่น ปากหม้อ ปากไห', 'ต้นทางสำหรับเข้าออก เช่น ปากช่อง ปากตรอก, ถ้าเป็นทางทะเล เรียกว่า ปากน้ำ, ปากแม่น้ำ เช่น ปากพูน ปากเซ', 'กลีบดอกกล้วยไม้คล้ายรูปกรวยหรือหลอดที่อยู่ตรงกลางเป็นที่อยู่ของเกสร, กระเป๋า ก็เรียก'], 'คำลักษณนาม': ['เรียกสิ่งบางอย่างเช่นแหอวนหรือพยานบุคคล เช่น แหปากหนึ่ง อวน 2 ปาก พยาน 3 ปาก'], 'คำกริยา': ['พูด', 'พูด']}"
หน้า,"{'คำนาม': ['ส่วนของศีรษะตั้งแต่หน้าผากลงมาจดคาง', 'ซีกของกายที่ตรงข้ามกับหลัง', 'ด้านของสิ่งใดสิ่งหนึ่งที่อยู่ตรงข้ามกับสายตาของเราหรือด้านที่เผชิญหน้ากับสายตาของเรา', 'ส่วนบนของบางสิ่ง', 'เครื่องปรุงที่แต่งหรือโรยบนอาหารบางอย่าง', 'ด้านหนึ่ง ๆ ของวัตถุแบน ๆ อย่างกระดาษ', 'ด้านของเครื่องตีที่ขึงด้วยหนัง', 'ด้านหนึ่ง ๆ ของลูกเต๋าและน้ำเต้าซึ่งมี 6 ด้าน', 'ส่วนกว้างของแผ่นกระดาน เสาเหลี่ยม หรือผืนผ้า เป็นต้น', 'ชายผ้าบางชนิดที่มีลวดลาย', 'ด้านของผ้าที่มีลวดลายชัดกว่า', 'คราว', 'ฤดู', 'คน', 'เกียรติและศักดิ์ศรี'], 'คำลักษณนาม': ['บอกจำนวนด้านของแผ่นกระดาษ'], 'คำคุณศัพท์': ['ถัดไป', 'ตรงข้ามกับ หลัง (ใช้แก่เวลาที่ยังมาไม่ถึง)', 'อยู่ตรงข้ามกับข้างหลัง เรียกว่า ข้างหน้า']}"
รถ,"{'คำนาม': ['ยานที่มีล้อสำหรับเคลื่อนไป', 'ยานพาหนะทุกชนิดที่ใช้ในการขนส่งทางบกซึ่งเดินด้วยกำลังเครื่องยนต์ กำลังไฟฟ้าหรือพลังงานอื่น และหมายความรวมตลอดถึงรถพ่วงของรถนั้นด้วย ทั้งนี้เว้นแต่รถไฟ', 'เคลื่อนที่ไปด้วยความเร็ว', 'รถยนต์']}"
กลับ,"{'คำกริยา': ['ตรงกันข้ามกับภาวะเดิมหรือทิศทางเดิม', 'คืนมาสู่ภาวะเดิม', 'พลิกหน้าเป็นหลัง', 'เปลี่ยน', 'ทำตรงกันข้ามกับที่คาดหมายหรือที่ควรจะเป็น']}"
คณิตศาสตร์,{'คำนาม': ['วิชาว่าด้วยการคำนวณ']}
แคลคูลัส,{'คำนาม': ['สาขาวิชาของคณิตศาสตร์ที่เกี่ยวข้องกับการหาอนุพันธ์และปริพันธ์']}
กรวด,"{'คำนาม': ['ก้อนหินเล็ก ๆ เขื่องกว่าเม็ดทราย', 'ชื่อดอกไม้ไฟชนิดหนึ่ง ใช้ไม้อ้อบรรจุดินดำ มีหางยาว เมื่อจุดชนวนแล้วเหวี่ยงให้พุ่งขึ้นสูง'], 'คำคุณศัพท์': ['สูงชัน'], 'คำกริยา': ['หลั่งน้ำ']}"
แขนทุกข์,{'คำนาม': ['ปลอกแขนสีดำสำหรับสวมติดแขนเสื้อข้างซ้ายเป็นการแสดงความไว้อาลัยต่อคนตาย']}
สูทศาสตร์,{'คำนาม': ['วิชาว่าด้วยการทำอาหาร']}
ไวโอลิน,"{'คำนาม': ['เครื่องดนตรีจำพวกซอฝรั่งอย่างเล็ก มี 4 สาย และมีคันชักสำหรับสี', 'จอร์เจีย: ', 'จีน:', 'จีนกลาง: ', 'พม่า: ', 'อังกฤษ: ', 'อาหรับ:']}"
สัญญาณไฟ,{'คำนาม': ['เครื่องให้สัญญาณที่ตั้งอยู่บนจุดที่ถนนสองสายตัดกัน เพื่อแจ้งให้ทราบว่าปลอดภัยหรือยัง โดยใช้ระบบสีสามสี; สัญญาณไฟจราจร']}
ทองคำเปลว,{'คำนาม': ['ทองคำที่ตีแผ่เป็นแผ่นบางมาก ๆ ใช้ปิดบนสิ่งศักดิ์สิทธิ์ที่สักการบูชา เช่น พระพุทธรูป วัตถุมงคล นอกจากนี้ยังใช้ในงานศิลปะลงรักปิดทอง และใช้เป็นส่วนประกอบในการทำขนมไทยบางชนิด เช่น ดาราทอง']}
อุตสาหกรรมศิลป์,"{'คำนาม': ['งานศิลปะที่เกี่ยวข้องกับการออกแบบเพื่อการผลิต ผลิตภัณฑ์ (Product) สิ่งของเครื่องใช้ต่าง ๆ ให้สวยงามและเหมาะสมกับประโยชน์ใช้สอยมากขึ้น ด้วยวิธีการในระบบอุตสาหกรรม ซึ่งมีการทำงานเป็นระบบ  เป็นขั้นตอน  มีมาตรฐาน', 'มีการใช้เครื่องจักรกลเข้าช่วย ทำให้ต้นทุนต่ำ   ผลิตภัณฑ์ต่าง ๆ ได้แก่   เครื่องยนต์    เครื่องจักรกล    เครื่องใช้ไฟฟ้า     เครื่องอิเลคโทรนิค', 'เฟอร์นิเจอร์    สุขภัณฑ์   ครุภัณฑ์    เสื้อผ้า    เครื่องประดับ  เครื่องแต่งกาย เครื่องอุปโภค บริโภคต่าง ๆ  ตลอดจนถึงภาชนะบรรจุผลิตภัณฑ์ต่าง ๆ ด้วย     ผู้สร้างสรรค์งาน เรียกว่า นักออกแบบ (Designer)']}"
นิยาม,"{'คำนาม': ['การกำหนด, ทาง, อย่าง, วิธี'], 'คำกริยา': ['กำหนดหรือจำกัดความหมายที่แน่นอน']}"
รากศัพท์,"{'คำนาม': ['รากเดิมของคำที่มาจากภาษาบาลีและสันสกฤตเป็นต้น เรียกว่า ธาตุ', 'ภาษาอังกฤษ : root']}"
ทองคำ,"{'คำนาม': ['ธาตุลำดับที่ 79 สัญลักษณ์ Au เป็นโลหะ ลักษณะเป็นของแข็งสีเหลือง ทองคำ เป็นโลหะชนิดหนึ่ง มีราคาแพง ทอง เฉย ๆ ก็เรียก, บางถิ่นของไทยเรียกว่า ""คำ""']}"
กวี,{'คำนาม': ['ผู้รู้ผู้เชี่ยวชาญในศิลปะการประพันธ์บทกลอน จำแนกเป็น 4 คือ 1. จินตกวี แต่งโดยความคิด 2. สุตกวี แต่งโดยได้ฟังมา 3. อรรถกวี แต่งตามความจริง 4. ปฏิภาณกวี แต่งกลอนสด']}
คำแปล,{'คำนาม': ['ความหมายที่ถ่ายมาเป็นอีกภาษาหนึ่ง (ใช้กับคำหรือวลีเดียว)']}
หนึ่ง,"{'คำนาม': ['จำนวนเดียว, คนเดียว, สิ่งเดียว'], 'คำคุณศัพท์': ['เดี่ยว', 'เป็นเอก, เป็นเลิศ']}"
กิน,"{'คำกริยา': ['เคี้ยว (แล้วคายทิ้ง)', 'เคี้ยวกลืน, ทำให้ล่วงลำคอลงไปสู่กระเพาะ', 'ดื่ม', 'โดยปริยายหมายความว่า เปลือง', 'ทำให้หมดเปลือง', 'รับเอา', 'หารายได้โดยไม่สุจริต', 'ชนะในการพนันบางอย่าง', 'กิน']}"
กิ๊ก,"{'คำอุทาน': ['เสียงของแข็งกระทบกัน'], 'คำนาม': ['เพื่อนสนิทต่างเพศซึ่งอาจจะมีความสัมพันธ์ฉันชู้สาว', 'กิกะไบต์, จิกะไบต์'], 'คำกริยา': ['มีความสัมพันธ์ฉันชู้สาว']}"
โจมตี,"{'คำกริยา': ['ใช้กำลังบุกเข้าตี', 'พูดหรือเขียนเป็นเชิงตำหนิหรือกล่าวหาผู้อื่นอย่างรุนแรง']}"
ส้มหล่น,{'คำกริยา': ['ได้รับโอกาสโดยไม่คาดฝัน']}
ไทย,"{'คำวิสามานยนาม': ['ชื่อประเทศและชนชาติที่อยู่ในเอเชียตะวันออกเฉียงใต้ มีพรมแดนติดต่อกับลาว เขมร มาเลเซีย และพม่า', 'ภาษาทางการของประเทศไทย', 'ชนเชื้อชาติไทย มีหลายสาขาด้วยกัน, ไท ก็ว่า'], 'คำนาม': ['ความมีอิสระในตัว, ความไม่เป็นทาส, ไท ก็ว่า', 'คน'], 'คำคุณศัพท์': ['ควรให้, ใช้ประกอบเป็นคำนำหน้าสมาส']}"
เกาหลี,"{'คำวิสามานยนาม': ['ชื่อประเทศและชนชาติหนึ่ง อยู่ในคาบสมุทรทางตะวันออกของทวีปเอเชีย', 'ชื่อภาษาที่ใช้หลักในประเทศเกาหลี และประเทศอื่น ๆ', 'เรียกบุคคลที่เกิดหรือโตในประเทศเกาหลี']}"
จีน,"{'คำวิสามานยนาม': ['ประเทศจีน - ประเทศในเอเซียตะวันออก', 'ภาษาจีน - ภาษาที่ใช้หลักในประเทศจีนเป็นภาษาราชการ และประเทศอื่น ๆ'], 'คำนาม': ['คนจีน - บุคคลที่เกิดหรือโตในประเทศจีน']}"
ญี่ปุ่น,{'คำวิสามานยนาม': ['ชื่อประเทศและชนชาติหนึ่งอยู่ในหมู่เกาะทางทิศตะวันออกของประเทศจีน']}
ลาว,"{'คำวิสามานยนาม': ['ลาว'], 'คำนาม': ['ลาว'], 'คำสรรพนาม': ['เขา ']}"
สเปน,"{'คำวิสามานยนาม': ['ประเทศสเปน - ประเทศในยุโรป', 'ภาษาสเปน - ภาษาที่ใช้หลักในประเทศสเปนและละตินอเมริกาเป็นภาษาราชการ และประเทศอื่น ๆ'], 'คำนาม': ['คนสเปน, ชาวสเปน - บุคคลที่เกิดหรือโตในประเทศสเปน']}"
อังกฤษ,"{'คำวิสามานยนาม': ['ชื่อประเทศ ชนชาติ และภาษาของชนผิวขาวพวกหนึ่งที่อยู่ในเกาะทางทิศตะวันตกของทวีปยุโรปซึ่งเรียกว่า เกรตบริเตน'], 'คำนาม': ['เรียกโลหะชนิดหนึ่งเป็นแผ่นบาง ๆ สีคล้ายทองคำหรือสีอื่น ๆ ก็มี ใช้สลักหรือปรุเป็นลายประดับเครื่องศพเป็นต้นว่า ทองอังกฤษ']}"
ชนชั้นนำ,{'คำนาม': ['กลุ่มคนที่มีสถานะเหนือกว่ากลุ่มอื่น ๆ ในสังคม ทั้งในด้านการศึกษา สถานะทางเศรษฐกิจ หน้าที่ หรือตำแหน่งในสังคม']}
ทาน,"{'คำนาม': ['การให้, มักใช้ประกอบท้ายคำอื่น', 'สิ่งที่ให้ มักหมายถึงเงินหรือสิ่งของที่คนให้แก่คนยากจน, เป็นธรรมข้อ 1 ในสังคหวัตถุและทศพิธราชธรรม'], 'คำกริยา': ['ยันหรือรับไว้, มักใช้เข้าคู่กับคำ ต้าน เป็น ต้านทาน', 'สอบหนังสือให้ถูกต้องหรือให้ตรงกับต้นฉบับ, ตรวจทาน ก็ว่า', 'กิน']}"
สวบ,"{'คำนาม': ['เสียงดังอย่างเสียงกรับพวง', 'เสียงคนหรือสัตว์ย่ำไปบนใบไม้หรือสิ่งที่ทำให้เกิดเสียงเช่นนั้น, สวบสาบ ก็ว่า', 'อาการที่ก้มหน้าก้มตากินเอา ๆ ด้วยความหิวโหยหรือตะกละตะกลาม', 'อาการที่ก้าวเดินจ้ำเอา ๆ']}"
กำ,"{'คำกริยา': ['งอนิ้วมือทั้ง 4 ให้จดอุ้งมือ', 'เอานิ้วมือทั้ง 5 โอบรอบสิ่งใดสิ่งหนึ่ง, อาการที่งอนิ้วมือทั้ง 5 รวบสิ่งใดสิ่งหนึ่งไว้'], 'คำนาม': ['มือที่กำเข้า', 'ปริมาณของเต็มมือที่กำเข้า, กำมือ ก็ว่า', 'มาตราวัดรอบของกลม เมื่อวัดได้เท่าไร แล้วทบกึ่งได้ยาวราว 10 เซนติเมตร เช่น ของกลมวัดรอบได้ยาว 20 เซนติเมตร ของกลมนั้นเรียกว่ามีขนาด 1 กำ, มี 3 ชนิด คือ 1. กำสลึง (ยาว 4 นิ้ว 1 กระเบียด หรือ 10.75 เซนติเมตร) 2. กำเฟื้อง (ยาว 4 นิ้วครึ่งกระเบียด หรือ 10.5 เซนติเมตร) 3. กำสองไพ (ยาว 4 นิ้ว 2 หุน หรือ 10.25 เซนติเมตร)', 'ซี่ล้อรถหรือเกวียน', 'กรรม'], 'คำลักษณนาม': ['เรียกผักหรือหญ้าที่มัดไว้']}"
กรัม,"{'คำนาม': ['หน่วยมาตราชั่งน้ำหนัก ตามมาตราเมตริก มีอัตรา = 100 เซนติกรัม หรือ 1 ใน 1,000 แห่งกิโลกรัม, ตามมาตราประเพณี อัตรา 600 กรัม = 1 ชั่งหลวง, อักษรย่อว่า ก.']}"
คนพิการ,{'คำนาม': ['คนที่มีความผิดปรกติหรือบกพร่องทางร่างกาย ทางสติปัญญาหรือทางจิตใจ']}
สึนามิ,"{'คำนาม': ['คลื่นขนาดใหญ่มากในทะเล โดยทั่วไปเกิดจากการรบกวนมวลน้ำอย่างรุนแรง เช่นแผ่นดินไหวหรือภูเขาไฟระเบิดใต้ทะเล และอาจสร้างความเสียหายมากเมื่อคลื่นถึงฝั่ง', 'สิ่งที่ถาโถมเข้ามาแล้วทำให้เกิดความเสียหายรุนแรง']}"
สังคายนา,"{'คำนาม': ['การซักซ้อม', 'การสวดพร้อมกันและเป็นแบบเดียวกัน', 'การประชุมชำระพระไตรปิฎกให้เป็นแบบเดียวกัน'], 'คำกริยา': ['สะสาง']}"
เนิร์ด,"{'คำนาม': ['มีึความหมายใกล้เคียงกับคำว่า หนอนหนังสือ', 'หมกมุ่นอยู่กับเรื่องบางเรื่อง เช่นพวกแฟนพันธุ์แท้']}"
ขวับ,"{'คำอุทาน': ['เสียงหวดไม้เรียว'], 'คำกริยาวิเศษณ์': ['เร็ว, ทันที']}"
ขำ ๆ,"{'คำกริยาวิเศษณ์': ['ทำเล่น ๆ แค่พอสนุก, ไม่จริงจัง']}"
เมฆพัด,{'คำนาม': ['โลหะที่ได้จากการเล่นแร่แปรธาตุตามตำราของไทยโบราณ  เชื่อว่าเป็นธาตุกายสิทธิ์มีฤทธานุภาพในตัวเอง  เมฆพัดเป็นส่วนผสมของตะกั่วและทองแดง  มีกรรมวิธีการสร้างที่ซับซ้อน  ในระหว่างหลอมต้องผสมตัวยาหลายชนิดมีกำมะถัน  ปรอท  และว่านยาได้แก่ ไพลดำ ต้นหิงหาย ไม้โมกผา ขิงดำ กระชายดำ สบู่แดง สบู่เลือด เป็นต้น  ซัดเข้าไปในเบ้าหลอม  พอสำเร็จจะได้โลหะสีดำเป็นมันเงาเลื่อมพราย  แต่เปราะและแตกง่าย  พระคณาจารย์แต่โบราณนิยมหลอมเมฆพัดมาทำเป็นพระเครื่อง  อาทิ พระครูปัจฉิมทิศบริหาร (นาค โชติโก) วัดห้วยจระเข้  นครปฐม  และพระอาจารย์ทับ  วัดอนงคาราม']}
เด็กแนว,{'คำนาม': ['เด็กที่แตกต่างจากเพื่อน']}
ซะงั้น,"{'คำอุทาน': ['ตัวอย่างประโยค', 'ให้ทำอย่างหนึ่ง ไปทำอีกอย่างเสียอย่างนั้น พูดเป็น ไปทำนั่นซะงั้น ให้ทำนี่! นี่! เป็นต้น', 'ตัวอย่างประโยค']}"
คูล,"{'คำคุณศัพท์': ['เก่ง, เท่']}"
ทิงลิช,{'คำนาม': ['ภาษาอังกฤษที่อ่านและใช้อย่างสำเนียงและไวยกรณ์ไทย รูปแบบภาษาอังกฤษที่เบี่ยงเบนเนื่องจากผู้ใช้ภาษาไทย เป็นภาษาแม่ใช้ภาษาเดิมอ้างอิงถึงการใช้ภาษาในภาษาอังกฤษ เช่นเดียวกับ อิงริช (Engrish) และ สแปงลิช (Spanglish) ข้อผิดพลาดที่เห็นได้แก่ การใช้คำศัพท์ หน้าที่ของคำ และไวยากรณ์ภาษา']}
ขุดทอง,"{'คำกริยา': ['ขุดดินเพื่อหาแร่ทอง', 'ไปหาโอกาสในดินแดนใหม่ ซึ่งที่นั้นอาจเป็นหนทางสู่ความก้าวหน้าของชีวิต', 'ร่วมเพศทางทวารหนัก']}"
ภาษา,"{'คำนาม': ['ถ้อยคำที่ใช้พูดหรือเขียนเพื่อสื่อความของชนกลุ่มใดกลุ่มหนึ่ง หรือเพื่อสื่อความเฉพาะวงการ', 'เสียง ตัวหนังสือ หรือกิริยาอาการที่สื่อความได้', 'คนหรือชาติที่พูดภาษานั้น ๆ', 'กลุ่มของชุดอักขระ สัญนิยม และกฎเกณฑ์ที่กำหนดขึ้นเพื่อสั่งงานคอมพิวเตอร์', 'โดยปริยายหมายความว่าสาระ, เรื่องราว, เนื้อความที่เข้าใจกัน']}"
หุ่นพยนต์,"{'คำนาม': ['รูปที่ผู้ทรงวิทยาคมเอาวัตถุมาผูกขึ้นแล้วเสกเป่าให้เป็นเหมือนรูปที่มีชีวิต เป็นความเชื่อในวิชาไสยศาสตร์ไทยโบราณ เรียกว่าวิชาผูกหุ่น โดยใช้หญ้าแพรก ไม้ไผ่ ขี้ผึ้ง ผ้า เป็นต้น ทำเป็นหุ่นคนมีแขนขา แล้วปลุกเสกด้วยคาถาอาคม มีการตั้งธาตุ หนุนธาตุ เรียกอาการ 32 จนหุ่นนั้นเสมือนมีชีวิต เชื่อว่าใช้งานตามคำสั่งของเจ้าของ ดังปรากฏในวรรณกรรมเสภาเรื่องขุนช้างขุนแผน สมัยโบราณนิยมทำไว้เฝ้าบ้านหรือเรือกสวนไร่นา ทำเป็นเครื่องรางพกพาติดตัวก็มี', 'หุ่นยนต์']}"
สุขสันต์วันเกิด,{'คำอุทาน': ['ใช้พูดหรือเขียนเพื่ออวยพรในวันคล้ายวันเกิดของบุคคลอื่น']}
ยูเครน,"{'คำนามวิสามานยนาม': ['ประเทศในยุโรปตะวันออก', 'ภาษาที่ใช้หลักในประเทศยูเครนเป็นภาษาราชการ และประเทศอื่น ๆ', 'บุคคลที่เกิดหรือโตในประเทศยูเครน']}"
รัสเซีย,"{'คำวิสามานยนาม': ['ประเทศรัสเซีย - ประเทศในยุโรป และเอเชีย', 'ภาษารัสเซีย - ภาษาที่ใช้หลักในประเทศรัสเซียเป็นภาษาราชการ และประเทศอื่นๆ'], 'คำนาม': ['คนรัสเซีย - บุคคลที่เกิดหรือโตในประเทศรัสเซีย']}"
